Website,LinkedIn page,Address,E-mail,Phone,Products/services,Revenue last three years,CEO,CEO LinkedIn URL,CEO Official email,CFO,CFO LinkedIn,CFO Official email,Procurement Head,Procurement Head LinkedIn,Procurement Head Official email,SWOT Strengths,SWOT Weaknesses,SWOT Opportunities,SWOT Threats,Close Competitors
http://example17.com,https://linkedin.com/company/example17,"17 Example St, City, Country",info@example17.com,123-456-7817,Product Q; Product R,$17M; $18M; $19M,CEO Q,https://linkedin.com/in/ceoQ,ceoQ@example17.com,CFO Q,https://linkedin.com/in/cfoQ,cfoQ@example17.com,Procurement Head Q,https://linkedin.com/in/procurementQ,procurementQ@example17.com,Strength 17; Strength 18,Weakness 17; Weakness 18,Opportunity 17; Opportunity 18,Threat 17; Threat 18,Competitor 17; Competitor 18
http://example18.com,https://linkedin.com/company/example18,"18 Example St, City, Country",info@example18.com,123-456-7818,Product R; Product S,$18M; $19M; $20M,CEO R,https://linkedin.com/in/ceoR,ceoR@example18.com,CFO R,https://linkedin.com/in/cfoR,cfoR@example18.com,Procurement Head R,https://linkedin.com/in/procurementR,procurementR@example18.com,Strength 18; Strength 19,Weakness 18; Weakness 19,Opportunity 18; Opportunity 19,Threat 18; Threat 19,Competitor 18; Competitor 19
http://example19.com,https://linkedin.com/company/example19,"19 Example St, City, Country",info@example19.com,123-456-7819,Product S; Product T,$19M; $20M; $21M,CEO S,https://linkedin.com/in/ceoS,ceoS@example19.com,CFO S,https://linkedin.com/in/cfoS,cfoS@example19.com,Procurement Head S,https://linkedin.com/in/procurementS,procurementS@example19.com,Strength 19; Strength 20,Weakness 19; Weakness 20,Opportunity 19; Opportunity 20,Threat 19; Threat 20,Competitor 19; Competitor 20
http://example20.com,https://linkedin.com/company/example20,"20 Example St, City, Country",info@example20.com,123-456-7820,Product T; Product U,$20M; $21M; $22M,CEO T,https://linkedin.com/in/ceoT,ceoT@example20.com,CFO T,https://linkedin.com/in/cfoT,cfoT@example20.com,Procurement Head T,https://linkedin.com/in/procurementT,procurementT@example20.com,Strength 20; Strength 21,Weakness 20; Weakness 21,Opportunity 20; Opportunity 21,Threat 20; Threat 21,Competitor 20; Competitor 21
http://example21.com,https://linkedin.com/company/example21,"21 Example St, City, Country",info@example21.com,123-456-7821,Product U; Product V,$21M; $22M; $23M,CEO U,https://linkedin.com/in/ceoU,ceoU@example21.com,CFO U,https://linkedin.com/in/cfoU,cfoU@example21.com,Procurement Head U,https://linkedin.com/in/procurementU,procurementU@example21.com,Strength 21; Strength 22,Weakness 21; Weakness 22,Opportunity 21; Opportunity 22,Threat 21; Threat 22,Competitor 21; Competitor 22
http://example22.com,https://linkedin.com/company/example22,"22 Example St, City, Country",info@example22.com,123-456-7822,Product V; Product W,$22M; $23M; $24M,CEO V,https://linkedin.com/in/ceoV,ceoV@example22.com,CFO V,https://linkedin.com/in/cfoV,cfoV@example22.com,Procurement Head V,https://linkedin.com/in/procurementV,procurementV@example22.com,Strength 22; Strength 23,Weakness 22; Weakness 23,Opportunity 22; Opportunity 23,Threat 22; Threat 23,Competitor 22; Competitor 23
http://example23.com,https://linkedin.com/company/example23,"23 Example St, City, Country",info@example23.com,123-456-7823,Product W; Product X,$23M; $24M; $25M,CEO W,https://linkedin.com/in/ceoW,ceoW@example23.com,CFO W,https://linkedin.com/in/cfoW,cfoW@example23.com,Procurement Head W,https://linkedin.com/in/procurementW,procurementW@example23.com,Strength 23; Strength 24,Weakness 23; Weakness 24,Opportunity 23; Opportunity 24,Threat 23; Threat 24,Competitor 23; Competitor 24
http://example24.com,https://linkedin.com/company/example24,"24 Example St, City, Country",info@example24.com,123-456-7824,Product X; Product Y,$24M; $25M; $26M,CEO X,https://linkedin.com/in/ceoX,ceoX@example24.com,CFO X,https://linkedin.com/in/cfoX,cfoX@example24.com,Procurement Head X,https://linkedin.com/in/procurementX,procurementX@example24.com,Strength 24; Strength 25,Weakness 24; Weakness 25,Opportunity 24; Opportunity 25,Threat 24; Threat 25,Competitor 24; Competitor 25
http://example25.com,https://linkedin.com/company/example25,"25 Example St, City, Country",info@example25.com,123-456-7825,Product Y; Product Z,$25M; $26M; $27M,CEO Y,https://linkedin.com/in/ceoY,ceoY@example25.com,CFO Y,https://linkedin.com/in/cfoY,cfoY@example25.com,Procurement Head Y,https://linkedin.com/in/procurementY,procurementY@example25.com,Strength 25; Strength 26,Weakness 25; Weakness 26,Opportunity 25; Opportunity 26,Threat 25; Threat 26,Competitor 25; Competitor 26
http://example26.com,https://linkedin.com/company/example26,"26 Example St, City, Country",info@example26.com,123-456-7826,Product @; Product A,$26M; $27M; $28M,CEO @,https://linkedin.com/in/ceo@,ceo@@example26.com,CFO @,https://linkedin.com/in/cfo@,cfo@@example26.com,Procurement Head @,https://linkedin.com/in/procurement@,procurement@@example26.com,Strength 26; Strength 27,Weakness 26; Weakness 27,Opportunity 26; Opportunity 27,Threat 26; Threat 27,Competitor 26; Competitor 27
http://example27.com,https://linkedin.com/company/example27,"27 Example St, City, Country",info@example27.com,123-456-7827,Product A; Product B,$27M; $28M; $29M,CEO A,https://linkedin.com/in/ceoA,ceoA@example27.com,CFO A,https://linkedin.com/in/cfoA,cfoA@example27.com,Procurement Head A,https://linkedin.com/in/procurementA,procurementA@example27.com,Strength 27; Strength 28,Weakness 27; Weakness 28,Opportunity 27; Opportunity 28,Threat 27; Threat 28,Competitor 27; Competitor 28
http://example28.com,https://linkedin.com/company/example28,"28 Example St, City, Country",info@example28.com,123-456-7828,Product B; Product C,$28M; $29M; $30M,CEO B,https://linkedin.com/in/ceoB,ceoB@example28.com,CFO B,https://linkedin.com/in/cfoB,cfoB@example28.com,Procurement Head B,https://linkedin.com/in/procurementB,procurementB@example28.com,Strength 28; Strength 29,Weakness 28; Weakness 29,Opportunity 28; Opportunity 29,Threat 28; Threat 29,Competitor 28; Competitor 29
http://example29.com,https://linkedin.com/company/example29,"29 Example St, City, Country",info@example29.com,123-456-7829,Product C; Product D,$29M; $30M; $31M,CEO C,https://linkedin.com/in/ceoC,ceoC@example29.com,CFO C,https://linkedin.com/in/cfoC,cfoC@example29.com,Procurement Head C,https://linkedin.com/in/procurementC,procurementC@example29.com,Strength 29; Strength 30,Weakness 29; Weakness 30,Opportunity 29; Opportunity 30,Threat 29; Threat 30,Competitor 29; Competitor 30
http://example30.com,https://linkedin.com/company/example30,"30 Example St, City, Country",info@example30.com,123-456-7830,Product D; Product E,$30M; $31M; $32M,CEO D,https://linkedin.com/in/ceoD,ceoD@example30.com,CFO D,https://linkedin.com/in/cfoD,cfoD@example30.com,Procurement Head D,https://linkedin.com/in/procurementD,procurementD@example30.com,Strength 30; Strength 31,Weakness 30; Weakness 31,Opportunity 30; Opportunity 31,Threat 30; Threat 31,Competitor 30; Competitor 31
http://example31.com,https://linkedin.com/company/example31,"31 Example St, City, Country",info@example31.com,123-456-7831,Product E; Product F,$31M; $32M; $33M,CEO E,https://linkedin.com/in/ceoE,ceoE@example31.com,CFO E,https://linkedin.com/in/cfoE,cfoE@example31.com,Procurement Head E,https://linkedin.com/in/procurementE,procurementE@example31.com,Strength 31; Strength 32,Weakness 31; Weakness 32,Opportunity 31; Opportunity 32,Threat 31; Threat 32,Competitor 31; Competitor 32
http://example32.com,https://linkedin.com/company/example32,"32 Example St, City, Country",info@example32.com,123-456-7832,Product F; Product G,$32M; $33M; $34M,CEO F,https://linkedin.com/in/ceoF,ceoF@example32.com,CFO F,https://linkedin.com/in/cfoF,cfoF@example32.com,Procurement Head F,https://linkedin.com/in/procurementF,procurementF@example32.com,Strength 32; Strength 33,Weakness 32; Weakness 33,Opportunity 32; Opportunity 33,Threat 32; Threat 33,Competitor 32; Competitor 33
http://example33.com,https://linkedin.com/company/example33,"33 Example St, City, Country",info@example33.com,123-456-7833,Product G; Product H,$33M; $34M; $35M,CEO G,https://linkedin.com/in/ceoG,ceoG@example33.com,CFO G,https://linkedin.com/in/cfoG,cfoG@example33.com,Procurement Head G,https://linkedin.com/in/procurementG,procurementG@example33.com,Strength 33; Strength 34,Weakness 33; Weakness 34,Opportunity 33; Opportunity 34,Threat 33; Threat 34,Competitor 33; Competitor 34
http://example34.com,https://linkedin.com/company/example34,"34 Example St, City, Country",info@example34.com,123-456-7834,Product H; Product I,$34M; $35M; $36M,CEO H,https://linkedin.com/in/ceoH,ceoH@example34.com,CFO H,https://linkedin.com/in/cfoH,cfoH@example34.com,Procurement Head H,https://linkedin.com/in/procurementH,procurementH@example34.com,Strength 34; Strength 35,Weakness 34; Weakness 35,Opportunity 34; Opportunity 35,Threat 34; Threat 35,Competitor 34; Competitor 35
http://example35.com,https://linkedin.com/company/example35,"35 Example St, City, Country",info@example35.com,123-456-7835,Product I; Product J,$35M; $36M; $37M,CEO I,https://linkedin.com/in/ceoI,ceoI@example35.com,CFO I,https://linkedin.com/in/cfoI,cfoI@example35.com,Procurement Head I,https://linkedin.com/in/procurementI,procurementI@example35.com,Strength 35; Strength 36,Weakness 35; Weakness 36,Opportunity 35; Opportunity 36,Threat 35; Threat 36,Competitor 35; Competitor 36
http://example36.com,https://linkedin.com/company/example36,"36 Example St, City, Country",info@example36.com,123-456-7836,Product J; Product K,$36M; $37M; $38M,CEO J,https://linkedin.com/in/ceoJ,ceoJ@example36.com,CFO J,https://linkedin.com/in/cfoJ,cfoJ@example36.com,Procurement Head J,https://linkedin.com/in/procurementJ,procurementJ@example36.com,Strength 36; Strength 37,Weakness 36; Weakness 37,Opportunity 36; Opportunity 37,Threat 36; Threat 37,Competitor 36; Competitor 37
http://example37.com,https://linkedin.com/company/example37,"37 Example St, City, Country",info@example37.com,123-456-7837,Product K; Product L,$37M; $38M; $39M,CEO K,https://linkedin.com/in/ceoK,ceoK@example37.com,CFO K,https://linkedin.com/in/cfoK,cfoK@example37.com,Procurement Head K,https://linkedin.com/in/procurementK,procurementK@example37.com,Strength 37; Strength 38,Weakness 37; Weakness 38,Opportunity 37; Opportunity 38,Threat 37; Threat 38,Competitor 37; Competitor 38
http://example38.com,https://linkedin.com/company/example38,"38 Example St, City, Country",info@example38.com,123-456-7838,Product L; Product M,$38M; $39M; $40M,CEO L,https://linkedin.com/in/ceoL,ceoL@example38.com,CFO L,https://linkedin.com/in/cfoL,cfoL@example38.com,Procurement Head L,https://linkedin.com/in/procurementL,procurementL@example38.com,Strength 38; Strength 39,Weakness 38; Weakness 39,Opportunity 38; Opportunity 39,Threat 38; Threat 39,Competitor 38; Competitor 39
http://example39.com,https://linkedin.com/company/example39,"39 Example St, City, Country",info@example39.com,123-456-7839,Product M; Product N,$39M; $40M; $41M,CEO M,https://linkedin.com/in/ceoM,ceoM@example39.com,CFO M,https://linkedin.com/in/cfoM,cfoM@example39.com,Procurement Head M,https://linkedin.com/in/procurementM,procurementM@example39.com,Strength 39; Strength 40,Weakness 39; Weakness 40,Opportunity 39; Opportunity 40,Threat 39; Threat 40,Competitor 39; Competitor 40
http://example40.com,https://linkedin.com/company/example40,"40 Example St, City, Country",info@example40.com,123-456-7840,Product N; Product O,$40M; $41M; $42M,CEO N,https://linkedin.com/in/ceoN,ceoN@example40.com,CFO N,https://linkedin.com/in/cfoN,cfoN@example40.com,Procurement Head N,https://linkedin.com/in/procurementN,procurementN@example40.com,Strength 40; Strength 41,Weakness 40; Weakness 41,Opportunity 40; Opportunity 41,Threat 40; Threat 41,Competitor 40; Competitor 41
http://example41.com,https://linkedin.com/company/example41,"41 Example St, City, Country",info@example41.com,123-456-7841,Product O; Product P,$41M; $42M; $43M,CEO O,https://linkedin.com/in/ceoO,ceoO@example41.com,CFO O,https://linkedin.com/in/cfoO,cfoO@example41.com,Procurement Head O,https://linkedin.com/in/procurementO,procurementO@example41.com,Strength 41; Strength 42,Weakness 41; Weakness 42,Opportunity 41; Opportunity 42,Threat 41; Threat 42,Competitor 41; Competitor 42
http://example42.com,https://linkedin.com/company/example42,"42 Example St, City, Country",info@example42.com,123-456-7842,Product P; Product Q,$42M; $43M; $44M,CEO P,https://linkedin.com/in/ceoP,ceoP@example42.com,CFO P,https://linkedin.com/in/cfoP,cfoP@example42.com,Procurement Head P,https://linkedin.com/in/procurementP,procurementP@example42.com,Strength 42; Strength 43,Weakness 42; Weakness 43,Opportunity 42; Opportunity 43,Threat 42; Threat 43,Competitor 42; Competitor 43
http://example43.com,https://linkedin.com/company/example43,"43 Example St, City, Country",info@example43.com,123-456-7843,Product Q; Product R,$43M; $44M; $45M,CEO Q,https://linkedin.com/in/ceoQ,ceoQ@example43.com,CFO Q,https://linkedin.com/in/cfoQ,cfoQ@example43.com,Procurement Head Q,https://linkedin.com/in/procurementQ,procurementQ@example43.com,Strength 43; Strength 44,Weakness 43; Weakness 44,Opportunity 43; Opportunity 44,Threat 43; Threat 44,Competitor 43; Competitor 44
http://example44.com,https://linkedin.com/company/example44,"44 Example St, City, Country",info@example44.com,123-456-7844,Product R; Product S,$44M; $45M; $46M,CEO R,https://linkedin.com/in/ceoR,ceoR@example44.com,CFO R,https://linkedin.com/in/cfoR,cfoR@example44.com,Procurement Head R,https://linkedin.com/in/procurementR,procurementR@example44.com,Strength 44; Strength 45,Weakness 44; Weakness 45,Opportunity 44; Opportunity 45,Threat 44; Threat 45,Competitor 44; Competitor 45
http://example45.com,https://linkedin.com/company/example45,"45 Example St, City, Country",info@example45.com,123-456-7845,Product S; Product T,$45M; $46M; $47M,CEO S,https://linkedin.com/in/ceoS,ceoS@example45.com,CFO S,https://linkedin.com/in/cfoS,cfoS@example45.com,Procurement Head S,https://linkedin.com/in/procurementS,procurementS@example45.com,Strength 45; Strength 46,Weakness 45; Weakness 46,Opportunity 45; Opportunity 46,Threat 45; Threat 46,Competitor 45; Competitor 46
http://example46.com,https://linkedin.com/company/example46,"46 Example St, City, Country",info@example46.com,123-456-7846,Product T; Product U,$46M; $47M; $48M,CEO T,https://linkedin.com/in/ceoT,ceoT@example46.com,CFO T,https://linkedin.com/in/cfoT,cfoT@example46.com,Procurement Head T,https://linkedin.com/in/procurementT,procurementT@example46.com,Strength 46; Strength 47,Weakness 46; Weakness 47,Opportunity 46; Opportunity 47,Threat 46; Threat 47,Competitor 46; Competitor 47
http://example47.com,https://linkedin.com/company/example47,"47 Example St, City, Country",info@example47.com,123-456-7847,Product U; Product V,$47M; $48M; $49M,CEO U,https://linkedin.com/in/ceoU,ceoU@example47.com,CFO U,https://linkedin.com/in/cfoU,cfoU@example47.com,Procurement Head U,https://linkedin.com/in/procurementU,procurementU@example47.com,Strength 47; Strength 48,Weakness 47; Weakness 48,Opportunity 47; Opportunity 48,Threat 47; Threat 48,Competitor 47; Competitor 48
http://example48.com,https://linkedin.com/company/example48,"48 Example St, City, Country",info@example48.com,123-456-7848,Product V; Product W,$48M; $49M; $50M,CEO V,https://linkedin.com/in/ceoV,ceoV@example48.com,CFO V,https://linkedin.com/in/cfoV,cfoV@example48.com,Procurement Head V,https://linkedin.com/in/procurementV,procurementV@example48.com,Strength 48; Strength 49,Weakness 48; Weakness 49,Opportunity 48; Opportunity 49,Threat 48; Threat 49,Competitor 48; Competitor 49
http://example49.com,https://linkedin.com/company/example49,"49 Example St, City, Country",info@example49.com,123-456-7849,Product W; Product X,$49M; $50M; $51M,CEO W,https://linkedin.com/in/ceoW,ceoW@example49.com,CFO W,https://linkedin.com/in/cfoW,cfoW@example49.com,Procurement Head W,https://linkedin.com/in/procurementW,procurementW@example49.com,Strength 49; Strength 50,Weakness 49; Weakness 50,Opportunity 49; Opportunity 50,Threat 49; Threat 50,Competitor 49; Competitor 50
http://example50.com,https://linkedin.com/company/example50,"50 Example St, City, Country",info@example50.com,123-456-7850,Product X; Product Y,$50M; $51M; $52M,CEO X,https://linkedin.com/in/ceoX,ceoX@example50.com,CFO X,https://linkedin.com/in/cfoX,cfoX@example50.com,Procurement Head X,https://linkedin.com/in/procurementX,procurementX@example50.com,Strength 50; Strength 51,Weakness 50; Weakness 51,Opportunity 50; Opportunity 51,Threat 50; Threat 51,Competitor 50; Competitor 51
http://example51.com,https://linkedin.com/company/example51,"51 Example St, City, Country",info@example51.com,123-456-7851,Product Y; Product Z,$51M; $52M; $53M,CEO Y,https://linkedin.com/in/ceoY,ceoY@example51.com,CFO Y,https://linkedin.com/in/cfoY,cfoY@example51.com,Procurement Head Y,https://linkedin.com/in/procurementY,procurementY@example51.com,Strength 51; Strength 52,Weakness 51; Weakness 52,Opportunity 51; Opportunity 52,Threat 51; Threat 52,Competitor 51; Competitor 52
http://example52.com,https://linkedin.com/company/example52,"52 Example St, City, Country",info@example52.com,123-456-7852,Product @; Product A,$52M; $53M; $54M,CEO @,https://linkedin.com/in/ceo@,ceo@@example52.com,CFO @,https://linkedin.com/in/cfo@,cfo@@example52.com,Procurement Head @,https://linkedin.com/in/procurement@,procurement@@example52.com,Strength 52; Strength 53,Weakness 52; Weakness 53,Opportunity 52; Opportunity 53,Threat 52; Threat 53,Competitor 52; Competitor 53
http://example53.com,https://linkedin.com/company/example53,"53 Example St, City, Country",info@example53.com,123-456-7853,Product A; Product B,$53M; $54M; $55M,CEO A,https://linkedin.com/in/ceoA,ceoA@example53.com,CFO A,https://linkedin.com/in/cfoA,cfoA@example53.com,Procurement Head A,https://linkedin.com/in/procurementA,procurementA@example53.com,Strength 53; Strength 54,Weakness 53; Weakness 54,Opportunity 53; Opportunity 54,Threat 53; Threat 54,Competitor 53; Competitor 54
http://example54.com,https://linkedin.com/company/example54,"54 Example St, City, Country",info@example54.com,123-456-7854,Product B; Product C,$54M; $55M; $56M,CEO B,https://linkedin.com/in/ceoB,ceoB@example54.com,CFO B,https://linkedin.com/in/cfoB,cfoB@example54.com,Procurement Head B,https://linkedin.com/in/procurementB,procurementB@example54.com,Strength 54; Strength 55,Weakness 54; Weakness 55,Opportunity 54; Opportunity 55,Threat 54; Threat 55,Competitor 54; Competitor 55
http://example55.com,https://linkedin.com/company/example55,"55 Example St, City, Country",info@example55.com,123-456-7855,Product C; Product D,$55M; $56M; $57M,CEO C,https://linkedin.com/in/ceoC,ceoC@example55.com,CFO C,https://linkedin.com/in/cfoC,cfoC@example55.com,Procurement Head C,https://linkedin.com/in/procurementC,procurementC@example55.com,Strength 55; Strength 56,Weakness 55; Weakness 56,Opportunity 55; Opportunity 56,Threat 55; Threat 56,Competitor 55; Competitor 56
http://example56.com,https://linkedin.com/company/example56,"56 Example St, City, Country",info@example56.com,123-456-7856,Product D; Product E,$56M; $57M; $58M,CEO D,https://linkedin.com/in/ceoD,ceoD@example56.com,CFO D,https://linkedin.com/in/cfoD,cfoD@example56.com,Procurement Head D,https://linkedin.com/in/procurementD,procurementD@example56.com,Strength 56; Strength 57,Weakness 56; Weakness 57,Opportunity 56; Opportunity 57,Threat 56; Threat 57,Competitor 56; Competitor 57
http://example57.com,https://linkedin.com/company/example57,"57 Example St, City, Country",info@example57.com,123-456-7857,Product E; Product F,$57M; $58M; $59M,CEO E,https://linkedin.com/in/ceoE,ceoE@example57.com,CFO E,https://linkedin.com/in/cfoE,cfoE@example57.com,Procurement Head E,https://linkedin.com/in/procurementE,procurementE@example57.com,Strength 57; Strength 58,Weakness 57; Weakness 58,Opportunity 57; Opportunity 58,Threat 57; Threat 58,Competitor 57; Competitor 58
http://example58.com,https://linkedin.com/company/example58,"58 Example St, City, Country",info@example58.com,123-456-7858,Product F; Product G,$58M; $59M; $60M,CEO F,https://linkedin.com/in/ceoF,ceoF@example58.com,CFO F,https://linkedin.com/in/cfoF,cfoF@example58.com,Procurement Head F,https://linkedin.com/in/procurementF,procurementF@example58.com,Strength 58; Strength 59,Weakness 58; Weakness 59,Opportunity 58; Opportunity 59,Threat 58; Threat 59,Competitor 58; Competitor 59
http://example59.com,https://linkedin.com/company/example59,"59 Example St, City, Country",info@example59.com,123-456-7859,Product G; Product H,$59M; $60M; $61M,CEO G,https://linkedin.com/in/ceoG,ceoG@example59.com,CFO G,https://linkedin.com/in/cfoG,cfoG@example59.com,Procurement Head G,https://linkedin.com/in/procurementG,procurementG@example59.com,Strength 59; Strength 60,Weakness 59; Weakness 60,Opportunity 59; Opportunity 60,Threat 59; Threat 60,Competitor 59; Competitor 60
